,message_order,data,label
0,5,location,whoAreYou
1,5,hi,whoAreYou
2,4,hi,greeting
3,1,hello,greeting
4,3,sir,whoAreYou
5,1,hi,greeting
6,3,hlo,greeting
7,4,good mrng,greeting
8,0,ok,greeting
9,3,gm,notInterested
10,0,hii,greeting
11,1,location,notInterested
12,3,nahi,greeting
13,3,marathi,whoAreYou
14,1,ok,whoAreYou
15,1,poda,notInterested
16,2,ok,whoAreYou
17,3,ldhu,greeting
18,2,hi,greeting
19,1,interested,greeting
20,5,hi,whoAreYou
21,0,hi,greeting
22,1,hii,notInterested
23,4,hello,notInterested
24,2,ok thanks,whoAreYou
25,3,ok,whoAreYou
26,3,okkk,whoAreYou
27,1,bhaiii,greeting
28,4,ok,whoAreYou
29,3,hey,greeting
30,2,hi sir,greeting
31,0,ok,whoAreYou
32,5,hi,whoAreYou
33,5,hi sir,whoAreYou
34,5,learning licence,whoAreYou
35,4,hii,whoAreYou
36,4,hii,whoAreYou
37,1,hii,whoAreYou
38,4,okay,greeting
39,4,ok,notInterested
40,3,msg,whoAreYou
41,4,learning licence,notInterested
42,2,ok,greeting
43,2,thanks,notInterested
44,2,location,greeting
45,5,ohhhh sry,whoAreYou
46,0,ok,whoAreYou
47,4,hello,whoAreYou
48,0,area,greeting
49,1,good morning,greeting
50,3,hy,whoAreYou
51,4,ok,notInterested
52,0,hai kishor,whoAreYou
53,0,okkk,greeting
54,0,ok,notInterested
55,0,hi,whoAreYou
56,5,come,notInterested
57,3,ledu,greeting
58,2,interested,notInterested
59,5,hello,whoAreYou
60,2,hi,greeting
61,3,ok,greeting
62,1,hii,whoAreYou
63,5,haa hai,notInterested
64,0,hello,notInterested
65,2,hai,notInterested
66,2,hello,whoAreYou
67,5,hi,greeting
68,3,ok,whoAreYou
69,2,hi,greeting
70,4,hi,whoAreYou
71,2,hii,greeting
72,2,hi,greeting
73,0,kkkkk,whoAreYou
74,2,hii,notInterested
75,4,good morning,greeting
76,0,hii,whoAreYou
77,0,hii,whoAreYou
78,1,hii,whoAreYou
79,5,ok,greeting
80,5,sorry,whoAreYou
81,1,ok,greeting
82,5,sir,greeting
83,3,ok,whoAreYou
84,5,okkk,whoAreYou
85,0,hi,notInterested
86,3,llr,notInterested
87,1,office,whoAreYou
88,3,hello,whoAreYou
89,1,good morning,whoAreYou
90,5,hi sir,whoAreYou
91,5,ok,greeting
92,2,ok,whoAreYou
93,3,ok,greeting
94,0,ok,notInterested
95,3,hiiii,whoAreYou
96,0,hi,greeting
97,5,hi,whoAreYou
98,1,two wheeler,greeting
99,3,gm,notInterested
100,0,hai,whoAreYou
101,4,hi,whoAreYou
102,0,ok,greeting
103,2,hii,notInterested
104,3,okay,greeting
105,3,get lost,notInterested
106,2,hi,greeting
107,3,hi,notInterested
108,4,hi,notInterested
109,5,hi sir,whoAreYou
110,0,tq,whoAreYou
111,1,ohhhh,notInterested
112,1,ok,whoAreYou
113,5,hello,greeting
114,0,job location,whoAreYou
115,5,hello,notInterested
116,2,hi,greeting
117,1,good morning,notInterested
118,1,ok,greeting
119,1,hlw,notInterested
120,5,hi,greeting
121,0,hai,whoAreYou
122,5,ekada job,whoAreYou
123,2,okkk,whoAreYou
124,5,thanks,greeting
125,3,location,notInterested
126,5,learning licence,whoAreYou
127,1,ok,greeting
128,4,ok,greeting
129,3,hai,whoAreYou
130,5,okay,greeting
131,3,ok,greeting
132,3,helloooo,whoAreYou
133,0,good night,notInterested
134,3,good night,notInterested
135,4,ok,greeting
136,3,ok ok,greeting
137,0,ok,greeting
138,0,इक नह,notInterested
139,4,ok,notInterested
140,0,ok,whoAreYou
141,2,kahase vai,greeting
142,4,come interview,notInterested
143,3,hii,whoAreYou
144,3,hlo vahna,notInterested
145,5,location,notInterested
146,1,licence,notInterested
147,2,interested,whoAreYou
148,4,sir area,notInterested
149,2,bike,greeting
150,4,ok,greeting
151,2,hii,whoAreYou
152,0,ok,whoAreYou
153,5,driving licence,greeting
154,1,hii,whoAreYou
155,5,ok,greeting
156,1,hello brother,whoAreYou
157,0,okn,greeting
158,4,hai,whoAreYou
159,5,hii sit,greeting
160,1,tell,notInterested
161,3,learning licence,whoAreYou
162,1,ok,greeting
163,4,hello,whoAreYou
164,1,job location,greeting
165,0,ok,whoAreYou
166,1,learning licence,notInterested
167,0,city,whoAreYou
168,4,hello,whoAreYou
169,3,head office,notInterested
170,2,hi,greeting
171,0,gud mrng,greeting
172,5,ok interested,greeting
173,1,hii,notInterested
174,1,hlo,greeting
175,2,ok,whoAreYou
176,1,hi,whoAreYou
177,3,ok ok,whoAreYou
178,1,ok,whoAreYou
179,1,hello,whoAreYou
180,1,okay,greeting
181,3,lr,whoAreYou
182,0,hii,whoAreYou
183,4,gud morning,notInterested
184,5,area,greeting
185,0,llr,whoAreYou
186,1,bhakk,whoAreYou
187,2,okay,greeting
188,1,vehicle sir,notInterested
189,1,sorry,whoAreYou
190,0,whr,greeting
191,3,hello,whoAreYou
192,3,dl,whoAreYou
193,5,hello peru,greeting
194,2,ok,whoAreYou
195,3,bike,whoAreYou
196,0,hi,notInterested
197,0,tq,greeting
198,5,interview place,notInterested
199,2,address,notInterested
200,1,hi,notInterested
201,5,hii,whoAreYou
202,5,hello,notInterested
203,3,okay,whoAreYou
204,0,hello,whoAreYou
205,3,hii,whoAreYou
206,4,bike,notInterested
207,4,hello,greeting
208,0,hii,greeting
209,3,two wheeler,greeting
210,5,ok,whoAreYou
211,1,yes,whoAreYou
212,3,ok,notInterested
213,1,hello,whoAreYou
214,0,hello,whoAreYou
215,5,hi,whoAreYou
216,5,location,greeting
217,1,hi ra,whoAreYou
218,5,good morning,notInterested
219,0,hello,greeting
220,2,इक नह,notInterested
221,1,hello,greeting
222,5,nahi,greeting
223,4,hello,whoAreYou
224,4,kk,whoAreYou
225,2,ok,notInterested
226,5,gd mrng,greeting
227,1,ok,greeting
228,0,hi,whoAreYou
229,4,kasturinagar,notInterested
230,0,hii,greeting
231,5,tq,whoAreYou
232,0,ok,greeting
233,5,hi,whoAreYou
234,3,hi,notInterested
235,1,learning licence,greeting
236,4,apply chesanu,greeting
237,5,bat,greeting
238,0,hello,notInterested
239,0,hi,whoAreYou
240,3,iam interested,notInterested
241,0,hii sir,notInterested
242,3,place,greeting
243,4,hi,notInterested
244,5,ok sir,notInterested
245,1,dot licence,whoAreYou
246,2,learning licence,whoAreYou
247,1,hi,whoAreYou
248,1,ok ok,greeting
249,4,ok,greeting
250,4,ok,whoAreYou
251,4,numberth,notInterested
252,0,ok,notInterested
253,0,hi,greeting
254,3,good night,notInterested
255,3,hi,greeting
256,1,ol,greeting
257,5,hlo,greeting
258,5,hello,notInterested
259,4,whr job,whoAreYou
260,5,office address,whoAreYou
261,4,ok,whoAreYou
262,0,hai,notInterested
263,2,ok sir,whoAreYou
264,4,inshallah come,notInterested
265,1,okay,greeting
266,3,hello,notInterested
267,0,numberth,greeting
268,1,hi,whoAreYou
269,5,location,greeting
270,4,hii,greeting
271,5,ok,notInterested
272,1,hello,notInterested
273,5,learning,notInterested
274,0,yes money,notInterested
275,3,ok,whoAreYou
276,5,ok,notInterested
277,5,hi,whoAreYou
278,1,ok,greeting
279,1,ledhuu,greeting
280,5,hello,greeting
281,0,ok,notInterested
282,2,hiiii,greeting
283,4,hi,greeting
284,3,hlo,whoAreYou
285,2,thanks,greeting
286,0,hi,whoAreYou
287,1,hi,notInterested
288,5,location,whoAreYou
289,1,whr,notInterested
290,3,okkk,notInterested
291,4,hi,whoAreYou
292,4,hi,greeting
293,1,thanks information,greeting
294,2,bro,greeting
295,4,hi yari,notInterested
296,4,hlo,notInterested
297,3,ok,notInterested
298,1,hi,notInterested
299,3,btw location,notInterested
300,4,hi,whoAreYou
301,4,hii,notInterested
302,4,assalamualaikum,greeting
303,2,office address,greeting
304,3,जय मह,whoAreYou
305,1,hi,notInterested
306,3,hii,whoAreYou
307,2,hello,greeting
308,0,hii,notInterested
309,2,bicycle,notInterested
310,3,ldhu,whoAreYou
311,1,gd night,greeting
312,4,chal,greeting
313,0,hi,whoAreYou
314,2,okkk,greeting
315,0,hello,notInterested
316,5,ok,greeting
317,0,hii,greeting
318,1,hi,greeting
319,5,licence hai,greeting
320,1,hi,notInterested
321,1,ok,whoAreYou
322,3,area,greeting
323,2,hi,whoAreYou
324,2,ok,notInterested
325,5,kk,greeting
326,1,hi,greeting
327,3,bro,whoAreYou
328,5,branch,greeting
329,4,thanks,greeting
330,5,place sir,notInterested
331,4,hai,notInterested
332,2,ok,whoAreYou
333,1,drop address,whoAreYou
334,5,ok,greeting
335,5,ok sir,whoAreYou
336,2,whr office,greeting
337,0,kaha pr,greeting
338,1,hii,greeting
339,2,sure,notInterested
340,1,area,greeting
341,3,ok,notInterested
342,0,hi,greeting
343,5,hi,notInterested
344,4,interested,greeting
345,0,hi,greeting
346,5,ok,whoAreYou
347,5,plea,greeting
348,5,hai sir,greeting
349,0,money pay,greeting
350,1,hi,notInterested
351,0,okkk,whoAreYou
352,2,hi,notInterested
353,5,hi,notInterested
354,2,hii,notInterested
355,0,ok,notInterested
356,5,thanks,greeting
357,5,hii,greeting
358,4,ok,whoAreYou
359,4,hi,greeting
360,1,dnt bike,notInterested
361,5,hii,notInterested
362,2,llr,notInterested
363,3,ok,greeting
364,4,driving licence,whoAreYou
365,5,hi,whoAreYou
366,5,ok,notInterested
367,4,bike,greeting
368,0,ok,whoAreYou
369,0,hi sir,whoAreYou
370,0,hi,notInterested
371,0,ok,whoAreYou
372,1,hi,whoAreYou
373,3,hi,greeting
374,5,hello,notInterested
375,3,hii,greeting
376,1,address,notInterested
377,3,nothing,whoAreYou
378,5,hello,whoAreYou
379,0,hi,whoAreYou
380,5,hii,notInterested
381,2,good afternoon,notInterested
382,3,hello,notInterested
383,3,hii,whoAreYou
384,1,numberapply,greeting
385,0,ok,whoAreYou
386,3,salam job,greeting
387,0,ok understand,whoAreYou
388,5,hi,whoAreYou
389,3,hii,greeting
390,0,sorry,greeting
391,1,okkk,greeting
392,3,tge work,whoAreYou
393,2,kya,whoAreYou
394,5,hi,whoAreYou
395,0,place,whoAreYou
396,1,hi,greeting
397,2,ok,notInterested
398,4,place recruitment,greeting
399,0,thanks concern,greeting
400,4,ok,notInterested
401,3,hi sir,notInterested
402,2,bro,whoAreYou
403,4,ok,greeting
404,5,hii,notInterested
405,3,sorry nonumber,whoAreYou
406,2,hi,notInterested
407,0,ok,notInterested
408,0,thanks,notInterested
409,0,hi,whoAreYou
410,5,thanks,greeting
411,0,heyyyy,greeting
412,0,oj,whoAreYou
413,2,hi,notInterested
414,3,ok,notInterested
415,5,ok,whoAreYou
416,0,sorry interested,whoAreYou
417,0,voke,greeting
418,0,ok,whoAreYou
419,1,good,whoAreYou
420,1,hi,greeting
421,1,hii,greeting
422,0,hi,greeting
423,5,hi,greeting
424,4,hlo,greeting
425,4,hi,notInterested
426,3,hi,whoAreYou
427,3,hello,notInterested
428,1,ok,whoAreYou
429,0,thanks,whoAreYou
430,4,ok,whoAreYou
431,0,gm,greeting
432,2,ok,whoAreYou
433,2,hello,whoAreYou
434,5,hello,greeting
435,0,oki bro,greeting
436,0,ok,greeting
437,1,hi,whoAreYou
438,5,hi,whoAreYou
439,1,hi,notInterested
440,1,land mark,greeting
441,1,hi,notInterested
442,4,llr,notInterested
443,2,say,greeting
444,5,ok,whoAreYou
445,3,kk,greeting
446,3,area bro,greeting
447,3,hi,notInterested
448,0,location branch,whoAreYou
449,5,thanks,greeting
450,5,bye,greeting
451,5,hii,notInterested
452,0,kk,greeting
453,2,hii,greeting
454,2,gn,greeting
455,0,ok,whoAreYou
456,5,hi,whoAreYou
457,5,okkk,whoAreYou
458,1,ok,greeting
459,2,hi,whoAreYou
460,4,hi,greeting
461,5,hii,notInterested
462,2,hi,whoAreYou
463,4,licence,notInterested
464,4,location,greeting
465,4,hi,greeting
466,4,get lost,greeting
467,3,llr,notInterested
468,2,ok,greeting
469,5,hi,greeting
470,4,hi,greeting
471,4,ok,whoAreYou
472,4,hi,notInterested
473,2,ok,notInterested
474,3,ok,whoAreYou
475,4,location,whoAreYou
476,3,ok,notInterested
477,0,hi,whoAreYou
478,3,hii bro,greeting
479,4,ok,notInterested
480,5,hello,greeting
481,3,kidar,greeting
482,5,sir bike,notInterested
483,3,ok,whoAreYou
484,2,hi hello,greeting
485,3,ok,notInterested
486,1,hi,whoAreYou
487,4,hello,whoAreYou
488,0,adras,greeting
489,4,ok,greeting
490,1,driving licence,greeting
491,4,ok,notInterested
492,4,hi,notInterested
493,5,ok,notInterested
494,3,hii,whoAreYou
495,5,get lost,greeting
496,0,hai,whoAreYou
497,3,ok,whoAreYou
498,5,hi,notInterested
499,1,ldhu,notInterested
500,1,hi,greeting
501,2,process,greeting
502,5,hi,greeting
503,3,plz stop,whoAreYou
504,2,hi,greeting
505,0,hy,notInterested
506,3,gud nyt,notInterested
507,0,good morning,whoAreYou
508,3,nonumber,greeting
509,5,hi,notInterested
510,1,hi,whoAreYou
511,1,thanks information,notInterested
512,5,hy,notInterested
513,5,ok,whoAreYou
514,2,hii,greeting
515,2,bike,whoAreYou
516,1,okkk,whoAreYou
517,4,hii sir,greeting
518,2,hii,whoAreYou
519,5,swiggy need,notInterested
520,3,nice,whoAreYou
521,1,yeah,notInterested
522,1,ohk,whoAreYou
523,4,hi,notInterested
524,0,okkk,notInterested
525,3,hii,greeting
526,0,hi bro,whoAreYou
527,5,tq,greeting
528,4,hi,greeting
529,4,kk,greeting
530,4,hi,greeting
531,5,hlo,notInterested
532,2,hi,notInterested
533,3,ok,whoAreYou
534,5,numberyes,notInterested
535,0,ok,whoAreYou
536,4,hi,whoAreYou
537,2,vehicle castady,whoAreYou
538,0,ok,whoAreYou
539,4,bhaiii,greeting
540,1,hai,greeting
541,4,ok,notInterested
542,4,kormangala,notInterested
543,2,msg,greeting
544,5,okį,whoAreYou
545,1,gn,whoAreYou
546,5,okkk,whoAreYou
547,3,ok,greeting
548,3,place,greeting
549,4,hi,greeting
550,5,gn,greeting
551,3,hii,notInterested
552,1,driving licence,greeting
553,2,hi,greeting
554,1,hii si,notInterested
555,1,hii,greeting
556,5,ok,whoAreYou
557,4,hi,greeting
558,0,nonono,whoAreYou
559,1,ok,whoAreYou
560,4,location please,greeting
561,1,sorry,greeting
562,2,gn,greeting
563,2,cheatinh,whoAreYou
564,4,hi sir,notInterested
565,3,hhi,notInterested
566,0,sry,greeting
567,3,nonsense,greeting
568,4,hii,notInterested
569,2,place,whoAreYou
570,4,hii,whoAreYou
571,0,ohk,notInterested
572,4,ok,notInterested
573,0,acha,greeting
574,1,hi,notInterested
575,4,ok,whoAreYou
576,1,hai,whoAreYou
577,3,nothing,greeting
578,0,sir,whoAreYou
579,5,numbernot text,greeting
580,1,hi,notInterested
581,3,dl,greeting
582,1,ok,greeting
583,1,ok,whoAreYou
584,2,ok,greeting
585,2,good morning,whoAreYou
586,2,hii,greeting
587,0,location job,greeting
588,5,bike licence,notInterested
589,5,hii,greeting
590,2,hello,greeting
591,5,hi,notInterested
592,3,kaise hai,greeting
593,3,hello,whoAreYou
594,0,hi,notInterested
595,3,hello,whoAreYou
596,0,okkk,notInterested
597,5,bike,notInterested
598,5,oko,notInterested
599,0,hi,notInterested
600,4,llr,notInterested
601,5,okkk,notInterested
602,2,hi,greeting
603,5,దయ,notInterested
604,2,hello,whoAreYou
605,1,hello,whoAreYou
606,5,hlo gm,greeting
607,1,send msg,greeting
608,1,kk,whoAreYou
609,3,licence,greeting
610,4,hai,notInterested
611,5,hii,notInterested
612,5,ur office,greeting
613,5,ok,whoAreYou
614,0,numbernot,whoAreYou
615,5,hi,notInterested
616,3,good morning,greeting
617,0,ok sir,greeting
618,5,ok,notInterested
619,1,hii,notInterested
620,0,hii,greeting
621,3,ok,greeting
622,0,work location,greeting
623,3,good morning,notInterested
624,3,hi,greeting
625,3,ok,greeting
626,2,hi,greeting
627,0,nt dl,whoAreYou
628,4,gn,whoAreYou
629,2,okkk,notInterested
630,5,ok,greeting
631,0,hello,greeting
632,2,ok,notInterested
633,2,hii,greeting
634,0,hi,notInterested
635,2,tanq,notInterested
636,2,llr,notInterested
637,3,okay,greeting
638,1,computer block,whoAreYou
639,3,location job,whoAreYou
640,1,hi,notInterested
641,2,hi,greeting
642,0,ok,whoAreYou
643,2,hii,notInterested
644,4,ok,notInterested
645,5,ok,whoAreYou
646,4,hi,notInterested
647,0,hii,whoAreYou
648,2,hiiii,greeting
649,3,driving licence,notInterested
650,5,hi,greeting
651,0,learning licence,notInterested
652,1,ok,whoAreYou
653,3,learning licence,whoAreYou
654,1,sorry interested,whoAreYou
655,0,come,whoAreYou
656,4,hi,greeting
657,0,hi,greeting
658,5,okay,greeting
659,1,ok sir,greeting
660,3,licence,greeting
661,4,ya llr,whoAreYou
662,0,hi,greeting
663,1,ok sir,greeting
664,1,thanks,notInterested
665,0,learning licence,whoAreYou
666,5,hi,whoAreYou
667,5,sorry,whoAreYou
668,4,hello,whoAreYou
669,2,sorry,whoAreYou
670,0,kk,notInterested
671,4,hlo,greeting
672,2,tq,greeting
673,2,hello,greeting
674,0,ok,greeting
675,4,bike licence,notInterested
676,2,ok,whoAreYou
677,3,ok,whoAreYou
678,3,thanks,whoAreYou
679,1,hi,greeting
680,3,hi,greeting
681,1,hi,whoAreYou
682,1,hi,notInterested
683,5,hi,notInterested
684,4,thanks,greeting
685,1,hi,greeting
686,5,okay,notInterested
687,3,okh,whoAreYou
688,3,stop messaging,whoAreYou
689,2,hii,greeting
690,5,ok,whoAreYou
691,4,sar,notInterested
692,1,location,whoAreYou
693,0,bro interested,whoAreYou
694,3,hello,notInterested
695,1,sir,whoAreYou
696,5,hi,notInterested
697,3,hi,whoAreYou
698,0,ok,whoAreYou
699,0,kelasa elva,greeting
700,5,ok,greeting
701,3,ledu,greeting
702,1,sir,notInterested
703,3,hi,greeting
704,1,hello,whoAreYou
705,0,good morning,greeting
706,2,hello,notInterested
707,5,ok,whoAreYou
708,2,licence,whoAreYou
709,5,hii,whoAreYou
710,5,thanks,greeting
711,2,hi,whoAreYou
712,0,okay,greeting
713,4,sorry,notInterested
714,1,hi,greeting
715,5,hi,notInterested
716,4,hi,greeting
717,3,good night,whoAreYou
718,2,kaha job,notInterested
719,3,hii,whoAreYou
720,2,hi,notInterested
721,0,hiiii,notInterested
722,2,location,greeting
723,3,ok,greeting
724,1,hlo,notInterested
725,1,ok,whoAreYou
726,5,hello,greeting
727,1,ok,whoAreYou
728,1,gn,whoAreYou
729,1,okay,notInterested
730,2,ok,greeting
731,0,learning licence,greeting
732,3,hi,whoAreYou
733,0,kasthuri nagar,notInterested
734,0,job location,whoAreYou
735,2,ok,greeting
736,0,hi,whoAreYou
737,5,hi,notInterested
738,4,hi,notInterested
739,0,stopped,greeting
740,5,ok,notInterested
741,3,hl,notInterested
742,5,good night,notInterested
743,4,bike,greeting
744,3,ok,whoAreYou
745,3,hii,notInterested
746,0,hello,whoAreYou
747,2,ok,whoAreYou
748,0,hi,greeting
749,5,hello,whoAreYou
750,3,hii,greeting
751,4,hello sir,greeting
752,3,bike,notInterested
753,0,hey hi,whoAreYou
754,5,hii,whoAreYou
755,4,hi unnati,whoAreYou
756,3,ok,notInterested
757,2,ok,notInterested
758,2,hii,greeting
759,2,acha ji,notInterested
760,4,hi,whoAreYou
761,5,going block,greeting
762,3,hii,notInterested
763,0,hi,greeting
764,5,ok,whoAreYou
765,3,interested,whoAreYou
766,5,hi,notInterested
767,4,location,whoAreYou
768,4,hii,whoAreYou
769,2,job,whoAreYou
770,3,driving licence,whoAreYou
771,0,good morning,greeting
772,2,kk,greeting
773,1,hi,greeting
774,3,ok,greeting
775,4,ok,whoAreYou
776,0,ok,notInterested
777,5,acha,whoAreYou
778,0,hi,greeting
779,4,hi,whoAreYou
780,5,hiiii,notInterested
781,2,okay,whoAreYou
782,5,ok,whoAreYou
783,1,thanks,greeting
784,5,nko,notInterested
785,3,hii,whoAreYou
786,5,ok,whoAreYou
787,0,hello sir,greeting
788,2,bike,whoAreYou
789,4,bike dl,greeting
790,2,redy,notInterested
791,1,hi,notInterested
792,2,kk,whoAreYou
793,1,hi,greeting
794,0,hello,greeting
795,2,office,notInterested
796,4,hii,notInterested
797,1,hello,greeting
798,2,area,notInterested
799,3,okay,whoAreYou
800,0,good night,greeting
801,0,hi,greeting
802,4,hello,whoAreYou
803,5,ok,whoAreYou
804,5,hie,notInterested
805,1,ya dl,notInterested
806,1,kasthuri nagar,whoAreYou
807,3,bike licence,notInterested
808,3,ok,whoAreYou
809,5,send interested,whoAreYou
810,5,good morning,greeting
811,3,oki,whoAreYou
812,4,fine,notInterested
813,2,job,whoAreYou
814,0,get lost,greeting
815,1,hii,whoAreYou
816,5,hi sir,notInterested
817,2,driving licence,greeting
818,5,hii,greeting
819,2,job location,whoAreYou
820,3,ohk,greeting
821,0,hello sir,notInterested
822,3,okay,whoAreYou
823,3,fine,whoAreYou
824,1,hi,notInterested
825,0,job,greeting
826,5,hello,greeting
827,0,hii,whoAreYou
828,0,ok,whoAreYou
829,0,bike,whoAreYou
830,4,hi,notInterested
831,1,thanks sir,whoAreYou
832,3,morning,greeting
833,2,hi,whoAreYou
834,1,okay,whoAreYou
835,2,ok,greeting
836,0,hv,notInterested
837,4,sorry,notInterested
838,2,hii,whoAreYou
839,3,hii,greeting
840,1,okay,greeting
841,5,hi,greeting
842,3,hi,greeting
843,5,hi,notInterested
844,5,hi,whoAreYou
845,1,ok tq,greeting
846,2,ok,greeting
847,3,ok,notInterested
848,1,hello,greeting
849,1,hello,whoAreYou
850,3,hi,whoAreYou
851,3,wokey,greeting
852,2,wise,greeting
853,0,hello,whoAreYou
854,0,ok,greeting
855,0,kk,notInterested
856,4,sry,greeting
857,4,hi sir,greeting
858,5,ok,whoAreYou
859,1,ok,greeting
860,2,hi,whoAreYou
861,1,hi,greeting
862,0,yeah,whoAreYou
863,2,hi,whoAreYou
864,4,learning licence,greeting
865,2,good morning,notInterested
866,5,hey,greeting
867,5,ok,notInterested
868,3,marathi,greeting
869,1,okkk,notInterested
870,2,hii,greeting
871,0,bike,greeting
872,5,ok,notInterested
873,5,write,whoAreYou
874,2,bike sir,greeting
875,1,hii,whoAreYou
876,0,hi,whoAreYou
877,5,hi,whoAreYou
878,4,hi,whoAreYou
879,0,yas,whoAreYou
880,1,place,whoAreYou
881,3,sir,notInterested
882,5,hii,greeting
883,5,hi,notInterested
884,5,hello,greeting
885,4,hi,notInterested
886,3,dl,whoAreYou
887,4,nahi,greeting
888,0,hi,notInterested
889,5,place,whoAreYou
890,3,hi,whoAreYou
891,3,ok,notInterested
892,2,ok,greeting
893,4,hi,whoAreYou
894,5,ok,whoAreYou
895,2,hi,whoAreYou
896,0,stop,notInterested
897,4,ok,greeting
898,1,llr,notInterested
899,2,ook,notInterested
900,5,hi,notInterested
901,4,hi,greeting
902,1,hi,greeting
903,4,acha,whoAreYou
904,3,far,notInterested
905,4,hii,notInterested
906,5,ther,whoAreYou
907,0,hi hi,whoAreYou
908,5,ok,notInterested
909,1,hi,greeting
910,4,okay,notInterested
911,3,ok,notInterested
912,5,morning,whoAreYou
913,1,location,whoAreYou
914,3,ok,notInterested
915,2,bike,greeting
916,2,hi,notInterested
917,1,thanks,whoAreYou
918,1,hi,notInterested
919,0,ok,greeting
920,3,location,notInterested
921,0,hello sir,whoAreYou
922,1,jus llr,notInterested
923,0,ok,notInterested
924,3,ok,greeting
925,1,ok,whoAreYou
926,5,ok,notInterested
927,5,hi,greeting
928,3,ok,whoAreYou
929,3,hii,whoAreYou
930,3,ok,whoAreYou
931,5,learning licence,greeting
932,3,okay,whoAreYou
933,3,hii,whoAreYou
934,3,hii,notInterested
935,4,sir,greeting
936,1,hi,greeting
937,5,ur location,whoAreYou
938,3,ok,notInterested
939,0,job,greeting
940,2,hello,notInterested
941,4,hi looking,notInterested
942,4,kk,notInterested
943,0,office,greeting
944,0,dnt think,whoAreYou
945,1,hii,whoAreYou
946,0,ok,greeting
947,1,ok,greeting
948,3,wr,whoAreYou
949,4,ok,greeting
950,1,learning licence,notInterested
951,1,hello sir,greeting
952,3,ok,whoAreYou
953,2,hi,greeting
954,4,good morning,greeting
955,4,okkk,notInterested
956,2,gd evng,whoAreYou
957,1,ok,notInterested
958,5,okay,greeting
959,4,ok,greeting
960,4,ok,greeting
961,1,hi,greeting
962,5,place,greeting
963,1,hi,greeting
964,2,sir,greeting
965,4,present learning,whoAreYou
